2.jpg, church (23.25), monastery (16.85), mosque (16.76), bell_cote (15.88), beacon (15.88), 
IMG_3389.JPG, lion (14.94), coyote (14.34), banded_gecko (14.05), cougar (13.78), ibex (13.56), 
IMG_3401.JPG, warthog (20.34), African_elephant (20.27), tusker (19.00), Arabian_camel (18.36), hartebeest (17.51), 
IMG_3435.JPG, water_buffalo (25.63), bison (22.71), ox (21.92), hippopotamus (20.75), warthog (20.65), 
IMG_3436.JPG, water_buffalo (48.21), ox (37.79), bison (33.77), Indian_elephant (31.16), African_elephant (30.25), 
IMG_3457.JPG, jeep (20.03), lion (17.75), langur (17.38), spider_monkey (16.94), bull_mastiff (16.89), 
IMG_3461.JPG, slug (18.33), hognose_snake (18.09), bolete (17.38), thunder_snake (17.24), Indian_cobra (16.66), 
IMG_3467.JPG, cougar (15.05), bolete (14.29), sea_lion (13.93), bull_mastiff (13.89), malinois (13.80), 
IMG_3472.JPG, car_wheel (18.72), jeep (17.01), disk_brake (16.30), Labrador_retriever (15.72), forklift (15.47), 
IMG_3476.JPG, lion (33.56), cougar (23.54), dingo (19.95), Chesapeake_Bay_retriever (17.32), bull_mastiff (16.83), 
IMG_3490.JPG, jeep (31.30), Polaroid_camera (23.62), pickup (22.50), golfcart (21.44), beach_wagon (21.42), 
IMG_3491.JPG, lion (15.58), burrito (15.03), Weimaraner (14.90), American_Staffordshire_terrier (14.50), cougar (14.40), 
IMG_3492.JPG, lion (14.99), French_loaf (13.94), burrito (13.83), dough (13.56), ice_bear (11.26), 
IMG_3496.JPG, lion (26.56), cougar (20.43), dingo (20.39), whippet (18.82), Saluki (18.46), 
IMG_3498.JPG, lion (22.89), dingo (21.13), Labrador_retriever (19.17), Saluki (18.59), whippet (18.54), 
IMG_3525.JPG, ox (22.64), water_buffalo (21.62), bison (21.16), chimpanzee (18.45), ram (17.57), 
IMG_3543.JPG, ostrich (22.52), Border_collie (18.83), American_black_bear (18.48), Cardigan (18.27), black_swan (15.55), 
IMG_3557.JPG, ostrich (33.10), bustard (30.63), hyena (27.07), coyote (25.29), zebra (24.45), 
IMG_3561.JPG, cricket (16.00), scorpion (15.82), spiny_lobster (15.82), wolf_spider (15.63), centipede (15.60), 
IMG_3593.JPG, robin (13.17), table_lamp (12.18), macaw (12.09), toucan (11.74), bannister (11.62), 
IMG_3597.JPG, ostrich (26.08), Arabian_camel (24.14), bustard (22.67), dowitcher (20.98), coyote (20.57), 
IMG_3605.JPG, cheetah (24.41), coyote (22.12), leopard (21.76), bustard (20.16), hyena (18.60), 
IMG_3609.JPG, cheetah (33.91), leopard (24.90), hyena (24.13), bustard (22.51), jaguar (20.97), 
IMG_3622.JPG, cheetah (37.51), leopard (26.39), hyena (26.25), whiptail (23.03), agama (20.53), 
IMG_3624.JPG, cheetah (23.40), leopard (20.72), dowitcher (19.08), hyena (17.50), jaguar (17.05), 
IMG_3630.JPG, leopard (22.58), cheetah (21.78), jaguar (19.53), hyena (17.33), Gila_monster (17.26), 
IMG_3631.JPG, cheetah (28.67), leopard (25.87), hyena (23.91), jaguar (22.88), whiptail (20.89), 
IMG_3633.JPG, African_elephant (37.10), Indian_elephant (35.97), tusker (35.87), warthog (28.32), water_buffalo (27.68), 
IMG_3634.JPG, African_elephant (24.69), tusker (24.29), Indian_elephant (23.21), warthog (20.60), water_buffalo (19.34), 
IMG_3638.JPG, kite (24.75), bald_eagle (23.39), vulture (23.34), hornbill (20.00), quail (19.15), 
IMG_3642.JPG, pop_bottle (22.73), beer_bottle (20.75), wine_bottle (17.15), water_bottle (16.89), beer_glass (16.88), 
IMG_3644.JPG, hyena (24.01), dhole (22.26), lion (22.02), baboon (21.58), African_hunting_dog (20.76), 
IMG_3664.JPG, zebra (47.00), hartebeest (33.76), warthog (33.04), impala (32.80), gazelle (32.23), 
IMG_3670.JPG, baboon (19.64), meerkat (19.03), mongoose (17.51), hyena (17.38), marmot (15.81), 
IMG_3673.JPG, cheetah (25.72), leopard (24.40), jaguar (23.21), hyena (22.04), dowitcher (19.55), 
IMG_3706.JPG, wood_rabbit (20.68), hare (19.46), baboon (18.24), badger (18.10), wallaby (17.32), 
IMG_3720.JPG, baboon (29.03), warthog (22.72), gorilla (21.55), langur (21.52), macaque (20.95), 
IMG_3726.JPG, baboon (35.13), hyena (23.51), gorilla (21.91), macaque (21.51), bison (21.51), 
IMG_3735.JPG, hyena (16.20), hartebeest (15.93), lion (15.42), wild_boar (14.96), warthog (14.45), 
IMG_3736.JPG, hartebeest (17.31), warthog (15.60), hyena (14.86), impala (14.54), brown_bear (14.23), 
IMG_3745.JPG, hyena (15.21), hartebeest (14.84), lion (13.62), brown_bear (13.44), impala (13.07), 
IMG_3755.JPG, lion (30.10), cougar (17.99), bull_mastiff (17.65), collie (17.37), ox (17.11), 
IMG_3758.JPG, lion (14.68), Chesapeake_Bay_retriever (14.38), cougar (13.45), bull_mastiff (13.29), sorrel (13.07), 
IMG_3761.JPG, hartebeest (21.82), warthog (19.20), impala (19.18), gazelle (18.37), dhole (16.87), 
IMG_3767.JPG, red_fox (17.92), dhole (16.73), lion (15.59), grey_fox (14.97), hyena (14.32), 
IMG_3772.JPG, yurt (17.14), boathouse (15.58), barn (15.51), mobile_home (14.96), thatch (12.80), 
IMG_3789.JPG, torch (20.24), fire_screen (19.97), beer_bottle (18.31), Dutch_oven (18.26), jack-o'-lantern (17.88), 
IMG_3827.JPG, hartebeest (28.68), water_buffalo (27.02), bison (26.05), impala (24.36), bighorn (24.17), 
IMG_3856.JPG, hippopotamus (25.34), water_buffalo (22.00), bison (20.59), wild_boar (20.15), hog (19.82), 
IMG_3858.JPG, water_buffalo (28.06), hippopotamus (28.05), wild_boar (26.00), bison (25.72), hog (25.67), 
IMG_3894.JPG, tusker (20.78), bison (20.61), African_elephant (20.41), Indian_elephant (20.38), jeep (19.06), 
IMG_3897.JPG, plow (12.66), warplane (12.41), harvester (11.82), wing (11.70), parachute (11.47), 
IMG_3899.JPG, warplane (29.14), wing (28.10), airliner (26.79), missile (23.22), aircraft_carrier (22.92), 
IMG_3913.JPG, airliner (16.45), bullet_train (16.43), wing (16.36), forklift (16.00), golfcart (15.57), 
IMG_3945.JPG, speedboat (14.52), sandbar (13.86), hammerhead (13.06), American_egret (12.37), canoe (12.36), 
IMG_3947.JPG, speedboat (14.10), rocking_chair (13.71), wreck (13.58), folding_chair (13.12), amphibian (13.12), 
IMG_3968.JPG, ocarina (14.91), chocolate_sauce (13.03), thunder_snake (12.38), slug (12.36), saltshaker (12.04), 
IMG_5698.JPG, mountain_bike (25.23), bicycle-built-for-two (22.12), unicycle (21.59), moped (20.33), alp (19.62), 
IMG_5716.JPG, sewing_machine (13.80), streetcar (12.70), traffic_light (12.64), projector (12.62), trolleybus (12.53), 
MVC-005F.JPG, snowplow (16.45), harvester (16.09), garbage_truck (15.18), Polaroid_camera (15.15), forklift (15.06), 
MVC-008F.JPG, espresso_maker (19.75), tripod (18.83), projector (16.56), forklift (16.30), drilling_platform (14.96), 
P1080807.JPG, valley (13.89), dam (13.37), cliff_dwelling (13.25), geyser (13.05), cliff (12.50), 
P1080812.JPG, cock (22.55), hen (21.12), partridge (15.35), house_finch (15.10), crane (14.95), 
P1080858.JPG, platypus (12.26), great_white_shark (12.03), tiger_shark (11.73), barracouta (11.08), coho (11.00), 
bali-33.jpg, ear (21.03), corn (19.98), bonnet (17.60), cauliflower (15.72), starfish (15.17), 
bali-56.jpg, macaque (30.09), baboon (25.56), titi (24.00), proboscis_monkey (23.73), guenon (23.17), 
bali-57.jpg, macaque (36.05), guenon (31.85), spider_monkey (29.78), langur (29.33), titi (28.93), 
dsc00282.jpg, police_van (17.87), minivan (16.54), ambulance (15.94), sports_car (15.08), limousine (15.06), 
dsc00774.jpg, restaurant (20.74), studio_couch (19.58), dining_table (18.70), china_cabinet (17.74), sliding_door (15.92), 
dsc08737.jpg, promontory (17.93), pier (17.27), schooner (16.93), beacon (16.65), suspension_bridge (16.58), 
img_1087.jpg, studio_couch (14.19), quilt (12.94), pillow (12.53), four-poster (12.38), toilet_tissue (12.17), 
img_1088.jpg, printer (16.35), waffle_iron (16.13), toilet_seat (15.80), toaster (15.74), modem (14.54), 
img_1490.jpg, missile (29.79), airliner (29.21), projectile (28.55), wing (28.53), warplane (27.93), 
img_2102.jpg, cornet (17.02), trombone (15.95), eel (15.02), harmonica (14.96), flute (13.97), 
img_2120.jpg, teddy (16.59), piggy_bank (16.37), barbell (16.28), dalmatian (15.46), toyshop (15.30), 
img_5703.jpg, container_ship (23.53), drilling_platform (17.10), dock (16.72), breakwater (16.49), liner (15.91), 
ngorogoro1.JPG, minibus (20.24), jeep (19.85), recreational_vehicle (19.36), police_van (19.17), ambulance (18.31), 
one.jpg, CD_player (18.55), waffle_iron (17.13), toilet_seat (17.07), hard_disc (15.97), modem (15.59), 
space shuttle taking off.jpg, space_shuttle (43.64), volcano (25.89), projectile (23.39), missile (22.66), drilling_platform (21.67), 
two.jpg, waffle_iron (17.85), toaster (16.67), toilet_seat (15.88), modem (15.60), switch (14.62), 
